Word [name=20, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=위협, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=인식, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=형성, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=인류, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=안전, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=보장, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=기존, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=사고방식, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=나, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=간, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=새, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=계약, tfidf=0.6020599913279624, tf=1, df=2, total=8]
---------------------------
Word [name=더, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=이상, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=국경, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=재산권, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=시민권, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=제한, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=보호, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=안전, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=보장, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=수, tfidf=0.6020599913279624, tf=1, df=2, total=8]
---------------------------
Word [name=이, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=책, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=통계, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=논거, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=거시적, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=비전, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=강화, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=유럽인, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=삶, tfidf=2.4082399653118496, tf=4, df=2, total=8]
Word [name=국한, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=것, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=새, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=국제, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=환경, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=세계적, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=패러다임, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=역설, tfidf=1.2041199826559248, tf=2, df=2, total=8]
---------------------------
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=치열, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=경쟁, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=사회, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=속, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=세계, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=경제, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=중심축, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=변화, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=다각적, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=분석, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=혜안, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=책, tfidf=1.806179973983887, tf=3, df=2, total=8]
---------------------------
Word [name=목차, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=서론, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=무엇, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=자하, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=본론, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=그, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=핵심, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=내용, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=분석, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=주요, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=의미, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=변화, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=세계, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=패권주의, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=개인적, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=시각, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=결론, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=교훈, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=시사점, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=중심, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=관련, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=단어, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=서평, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=감상문, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=서평, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=독후감, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=독후감, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
---------------------------
===========================================
Word [name=리프킨, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=것, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=년, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=유럽, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=책, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=새, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=독후, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=핵심, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=분석, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=대륙, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=역설, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=양, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=본문, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=국한, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=국제, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=세계적, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=유, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=패러다임, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=중심, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=미국, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=논거, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=내용, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=느낌, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=러, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=여, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=요약, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=이, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=통계, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=드림, tfidf=7.66743718090106, tf=18, df=3, total=8]
Word [name=삶, tfidf=1.7038749290891244, tf=4, df=3, total=8]
Word [name=언, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=유럽인, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=감상문, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=개인적, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=피, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=20, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=환경, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=주장, tfidf=0.8519374645445622, tf=2, df=3, total=8]
---------------------------
Word [name=네트워크, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=관계, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=타인, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=세계, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=잣대, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=삶, tfidf=1.7038749290891244, tf=4, df=3, total=8]
Word [name=미래, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=연결, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=질, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=사회, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=유, tfidf=7.241468448628779, tf=17, df=3, total=8]
---------------------------
Word [name=등장, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=리프킨, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=것, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=당착, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=자가, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=러, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=포스트모더니즘, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=주장, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=대신, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=드림, tfidf=7.66743718090106, tf=18, df=3, total=8]
Word [name=언, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=피, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=리프킨, tfidf=1.2779061968168433, tf=3, df=3, total=8]
---------------------------
Word [name=유럽, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=질, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=핵심, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=부의, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=축적, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=의식, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=자율성, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=유, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=아메리칸, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=덕목, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=형성, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=러, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=맥락, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=공동체, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=중시, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=추적, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=드림, tfidf=7.66743718090106, tf=18, df=3, total=8]
Word [name=삶, tfidf=1.7038749290891244, tf=4, df=3, total=8]
Word [name=뿌리, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=언, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=문화적, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=피, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=역사적, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=반대, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=안전, tfidf=0.8519374645445622, tf=2, df=3, total=8]
---------------------------
Word [name=간, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=형성, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=보장, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=새, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=인구, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=계약, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=수십, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=기존, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=억, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=위협, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=인류, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=나, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=인식, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=사고방식, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=보호, tfidf=0.4259687322722811, tf=1, df=3, total=8]
---------------------------
Word [name=더, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=안전, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=이상, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=국경, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=보장, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=수, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=제한, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=재산권, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=시민권, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=유, tfidf=7.241468448628779, tf=17, df=3, total=8]
---------------------------
Word [name=패러다임, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=논거, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=것, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=책, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=새, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=거시적, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=강화, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=러, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=역설, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=이, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=통계, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=드림, tfidf=7.66743718090106, tf=18, df=3, total=8]
Word [name=삶, tfidf=1.7038749290891244, tf=4, df=3, total=8]
Word [name=비전, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=언, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=유럽인, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=국한, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=국제, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=피, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=세계적, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=환경, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=유, tfidf=7.241468448628779, tf=17, df=3, total=8]
---------------------------
Word [name=변화, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=치열, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=책, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=경제, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=러, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=속, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=분석, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=경쟁, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=중심축, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=다각적, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=세계, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=드림, tfidf=7.66743718090106, tf=18, df=3, total=8]
Word [name=혜안, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=언, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=사회, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=피, tfidf=7.241468448628779, tf=17, df=3, total=8]
Word [name=주요, tfidf=0.4259687322722811, tf=1, df=3, total=8]
---------------------------
Word [name=변화, tfidf=0.8519374645445622, tf=2, df=3, total=8]
Word [name=무엇, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=목차, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=핵심, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=분석, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=자하, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=세계, tfidf=1.2779061968168433, tf=3, df=3, total=8]
Word [name=단어, tfidf=0.4259687322722811, tf=1, df=3, total=8]
Word [name=서론, tfidf=0.4259687322722811, tf=1, df=3, total=8]
